,gamma
5337,17056.68220414511
1423,3446.8413306297416
2797,2421.5797629243266
4290,1423.3229125619864
6117,1166.019131556849
3868,1151.377901121784
712,606.9783974581497
5587,48.299494053522395
1376,37.60885158877195
3758,37.522289523868324
5070,37.42729525340188
4967,36.60471578002715
5077,36.56981390287702
5798,36.55980397149237
5841,35.99369826086443
4368,35.56622020472486
5691,35.31306640909864
5593,35.08912374307597
5209,35.04835716931017
1847,34.769760352483324
5546,34.73378633352863
4830,34.67850513970084
5275,34.57692829976183
5923,34.5445194820262
5506,34.33657714597105
2805,33.83059766497594
5211,33.774374439149184
5093,33.57097234843816
5284,33.48680519924523
2148,33.171647946937306
2806,33.093338592745965
1563,32.53534234134186
5956,32.484650216364514
5294,31.999223291996213
1094,31.788216373615203
5173,31.736697810523566
4310,31.72823065827205
3421,31.703596510834227
2939,31.557327747458835
5180,31.392092782000947
4612,31.333583598534055
4278,31.257238091129324
5867,31.10463186714608
5150,31.047891420567662
5462,30.988581013001454
5953,30.96464347594691
2002,30.879300634642327
4775,30.750233732759284
5673,30.532718369302927
3821,30.486173093408993
4841,30.226198567340802
5511,30.172241979984655
5416,30.15539906479254
1277,30.154548412039507
2272,30.14786996497329
4445,29.993473547468785
2458,29.975780155751643
3904,29.932353553368223
1661,29.77638344630301
5104,29.742809874071167
5018,29.7063267723707
4172,29.69547157028397
5929,29.57452443495414
1925,29.569279529547053
4843,29.27165018156565
5862,29.22649153764263
5295,29.093807090174586
3204,29.067777699741516
2763,29.014760647065994
5243,28.982498581896124
3266,28.924099517979656
3596,28.760603550287968
3485,28.75443350568414
2959,28.747873905096437
2223,28.61589858469407
2798,28.448561430106817
5152,28.448259499128188
1299,28.410955941005206
5455,28.39365404688364
5099,28.331061776857922
1051,28.289333889351443
5293,28.18959081309795
1471,28.186756691214015
3800,28.013050581407434
2843,27.923205096740745
5849,27.829450563101503
5490,27.494684886610294
5553,27.360745173211903
5856,27.338614434375227
2230,27.320283121233114
5970,27.302338042051304
5352,27.201523164760836
5421,27.17398540923128
5883,27.172073419799442
5061,27.082006565677798
2012,27.069668303378663
5820,27.036644186386038
1533,26.988224395219753
2046,26.97723083046898
5110,26.91035005040926
5157,26.862325614468574
4716,26.848055301752005
2428,26.775214402009013
5800,26.71014809036685
5542,26.60632833343814
5331,26.595681379096852
4267,26.573212488230993
4710,26.535436601751286
4372,26.49462063160459
5021,26.38897364853738
4159,26.365106256100923
4536,26.28779683977916
2354,26.22502645460621
4456,26.1834448859906
1290,26.169152753566863
1648,26.16574056519266
3729,26.143090408634166
3247,26.1288678393465
5253,26.061606577378498
5760,26.046262376529278
5922,26.021947952758072
4253,25.96399744243215
5791,25.93876390083062
1013,25.88052719793228
5957,25.760105177460286
2227,25.73754224586272
2024,25.728201640579385
1898,25.705695734762333
4005,25.705593542167872
3454,25.65223497114182
1386,25.635252274314443
5613,25.616563864404753
5156,25.599903859973736
5764,25.59910219705816
1091,25.508720703286322
2962,25.50485075232225
4405,25.498201762918896
1762,25.438935315542217
4480,25.379945775953573
4797,25.353771102465004
1920,25.331054983541698
5803,25.301249225933777
4070,25.28600184775387
5419,25.282619566329913
5985,25.203639143542002
1639,25.14725114590355
1852,25.135297099475626
4479,25.11470548599262
4345,25.097881619632773
5869,25.072280667901946
3220,25.032126669396984
5908,24.9997188922819
2197,24.943311457748923
4169,24.896935310095614
5533,24.88254329426383
2432,24.863195933636188
5398,24.836711857806577
3166,24.787352020058645
5464,24.770312751460043
2003,24.64761912350811
4993,24.628099395616438
2472,24.596562146538623
5905,24.536562302668997
1928,24.497119074691685
1649,24.41674180793735
5936,24.407507109580767
4585,24.3878744019829
3397,24.35826731216382
4051,24.34343125567214
1472,24.285135440244485
3870,24.26332222521126
3011,24.180900084934052
4586,24.125301259838544
2564,24.08337157900949
5937,24.081511499838133
4569,24.071429012998827
1065,24.06849703377768
1736,24.044688929380506
1324,24.040579197647226
2897,24.019909205638324
5933,24.000606819219797
1581,23.95489891271821
5643,23.951276624625724
1262,23.949415074218788
4654,23.9426591304592
1589,23.88719388274953
5372,23.87251417484009
4446,23.842132116433078
5216,23.833519484785057
4033,23.80626262390549
4414,23.793095782023997
2367,23.75845836388029
4836,23.756962047829038
1797,23.734890372315125
1338,23.636550421994325
3018,23.61664452416011
5681,23.60707491181481
2164,23.60574568364088
5043,23.421830124609407
5830,23.40976517749569
2785,23.38221314223522
2362,23.381271795243872
2936,23.31401792663147
2868,23.239345774734865
3987,23.23008056153437
2089,23.22132105094192
2118,23.212833305161368
1981,23.200029911743407
2331,23.15903153667523
1991,23.14900728113224
