,gamma
5334,16807.796607367276
1422,3373.748442028809
2794,2373.8480927060805
4287,1393.3078009646742
6101,1137.8060651526816
3865,1123.2501583298117
712,591.8963119457733
3278,81.8440792901589
5584,47.25698598226004
5067,36.67118499173784
3755,36.400960933322494
5074,35.893143832239545
4964,35.39816014834174
5838,35.38593593094316
5795,35.33993807103921
4365,34.51382226950493
5688,34.40200082011346
5590,34.35335988659915
5206,34.058969151736754
1846,33.916224130744546
5920,33.82214669537152
5543,33.71086703822671
4827,33.700584763462714
5503,33.68165819617566
5272,33.332474796591015
5208,32.988984913515615
5090,32.94395763314168
2802,32.8761017533291
2147,32.519210685519155
2803,32.444261149778406
5281,32.185255245904514
1562,31.733654284193165
5291,31.27080279195291
4307,31.251300259360317
1094,31.016880392252517
5953,30.987409715149713
5170,30.903229254300715
2936,30.854264271132745
4275,30.566515934158055
4609,30.36012779694524
5864,30.347601970994248
5459,30.320612756251286
5177,30.29082615475201
4772,30.166873707794334
5950,30.130130397546033
2001,30.00897671357468
5147,29.97265188181675
5670,29.934683461093456
3818,29.623358785462543
5508,29.547625487051352
4838,29.421106583233385
1276,29.287077058924368
5413,29.133811835366217
4442,29.13252454940977
1660,29.02190370813432
3901,28.98698155299639
2455,28.98564506043426
2271,28.93608289317087
4169,28.891835161320696
5015,28.754912163666532
5101,28.597780491240403
1924,28.587737471836004
5926,28.531662283639466
5292,28.507795632813114
2760,28.325462396073007
4840,28.28298062111317
5240,28.267067747464047
3263,28.15507005328456
3201,28.139659784143486
2956,28.13271187498729
2222,28.028117329709954
3593,27.89636385875429
3482,27.858969201526364
5149,27.795556306056913
1298,27.764976817700017
1051,27.64560423419516
5096,27.54991518767181
5859,27.54336475275128
5452,27.494742890702913
1470,27.408675299543305
2795,27.35511985315079
2840,27.20855028616343
3797,27.118243713859457
5290,26.94825942644345
5853,26.813354630980847
2229,26.772846401843108
5550,26.759060511177033
5349,26.732213653369527
5846,26.64912305515872
5880,26.61334032202589
5967,26.459060594462205
